Ω√¡°,√—¿Œ±∏
1960,25012374
1961,25765673
1962,26513030
1963,27261747
1964,27984155
1965,28704674
1966,29435571
1967,30130983
1968,30838302
1969,31544266
1970,32240827
1971,32882704
1972,33505406
1973,34103149
1974,34692266
1975,35280725
1976,35848523
1977,36411795
1978,36969185
1979,37534236
1980,38123775
1981,38723248
1982,39326352
1983,39910403
1984,40405956
1985,40805744
1986,41213674
1987,41621690
1988,42031247
1989,42449038
1990,42869283
1991,43295704
1992,43747962
1993,44194628
1994,44641540
1995,45092991
1996,45524681
1997,45953580
1998,46286503
1999,46616677
2000,47008111
2001,47370164
2002,47644736
2003,47892330
2004,48082519
2005,48184561
2006,48438292
2007,48683638
2008,49054708
2009,49307835
2010,49554112
2011,49936638
2012,50199853
2013,50428893
2014,50746659
2015,51014947
2016,51217803
2017,51361911
2018,51585058
2019,51764822
2020,51836239
2021,51744876
2022,51628117
2023,51558034
2024,51500029
2025,51447504
2026,51397309
2027,51348388
2028,51300095
2029,51250905
2030,51199019
2031,51142848
2032,51082971
2033,51018619
2034,50947857
2035,50868691
2036,50774771
2037,50660209
2038,50524704
2039,50368731
2040,50193281
2041,49998451
2042,49784159
2043,49551362
2044,49300187
2045,49029906
2046,48739019
2047,48426874
2048,48093212
2049,47737283
2050,47358532
2051,46957061
2052,46534046
2053,46090617
2054,45628975
2055,45151722
2056,44660957
2057,44159136
2058,43649074
2059,43134131
2060,42617053
