group,name,V,R,R2
RI,N134,1323,15.22,33.93
R2,Sculptor,221,2.19,21.17
R3,N448,1348,12.94,31.71
R4,N488,1917,29.65,47.89
R5,N516,2037,16.98,35.15
R8,Ceti,1161,13.64,31.52
R9,N1023,367,12.26,27.41
R10,N1052,1186,24.07,41.45
R12,Eridanus,1497,16.8,33.21
RI3,Fornax,1356,19.67,35.4
R15,N1433,1010,11.17,27
R16,Dorado,1178,15.35,29.55
R17,N1800,855,9.05,24.18
R18,N2207,2256,31.52,38.9
R19,N2336,2217,21.27,24.85
R20,N2841,669,10.76,17.22
R22,N2613,1481,12.19,18.29
R23,N2655,2247,17.22,21.19
R24,N2768,1676,20.51,19.91
R25,N2964,1632,15.85,13.22
R26,N3023,1661,18.23,13.19
R27,M81,250,3.07,17.82
R28,N2997,720,8.13,15.86
R30,N3184,776,17.37,12.94
R31,N3190,1325,15.7,10.39
R33,Leo,1104,17.61,7.2
R34,N3486,583,8.09,12.39
R35,N3504,1536,19.23,8.61
R36,N3640,1238,15.96,6.59
R39,UMa I(N),1457,22.33,59.1
R40,N3923,1775,13.74,124.2
R41,N4027,1530,16.44,87.5
R42,N4030,1279,13.87,98.6
R43,UMa I(S),880,15.93,50
R45,Coma I,762,13.37,61.9
R46,N4214,664,11.63,57.7
R47,Virgo,1116,19.04,53.4
R50,Virgo V,1139,13.06,91.4
R51,N5033,1011,14.73,66.6
R52,N5061,1865,13.37,134.9
R53,N5128,318,4.14,73.4
R55,M51,518,10.16,49
R56,N5336,2518,27.14,86.7
R57,N5364,1123,12.76,90.6
R58,N5422,2028,52.72,39
R59,N5483,1358,14.32,89.2
R60,M101,427,7.05,58.2
R61,N5624,2392,24.2,93.2
R62,Virgo III,1774,20.94,77.1
R63,N5866,995,13.56,67.7
R64,N5957,1932,21.98,81.8
R66,N6300,846,9.29,87.1
R67,N6643,1714,19.05,86
R69,N7463,1669,20.89,107.9
R70,Grus,1405,15.02,107.5
,Pegasus I,3519,49.76,82
,Cancer,5116,57.54,83.2
,Coma,7187,109.88,63.1
,N6070,2157,28.05,72.7
Cent,,3680,61.38,52.29
,0122+33,4652,95.19,109.08
,S129- 1,4345,86.7,92.77
,Pisces,4771,54.95,70.1
,274 - 23,6305,70.79,53.74
,A1367,6818,77.98,59.64
,A400,6910,85.51,100.7
,A2634,8206,89.54,105.2
,A539,8633,100,106.98
,Hercules,11056,118,107.37
,Perseus,5189,87.1,96.4
,2345 - 28,8573,138.04,156.19
,A2199,8991,120.23,111.58
,SN N6384,1631,29.38,30.41
,SN N6835,1368,32.21,43.3
,SN N3811,3271,55.72,42.16
,SN1308 + 03,3306,53.7,35.47
,SN0232 + 37,3480,49.43,61.86
,SN1248 + 28,7689,167.49,149.33
,SN1255 +27,12318,201.37,183.16
,SN N4146,7222,133.7,115.44
,SN N7343,6185,97.72,110.21
,SN N2487,5056,71.12,65.46
,SN N977,5325,69.18,86.15
,SN N7619,3397,59.43,76.92
,SN N4162,2655,35.81,17.78
,SN N3147,2780,63.1,57.51
,SN N7723,1522,38.9,57.63
,CL N1209,2386,48.98,65.12
,CL N3258,3418,52,44.04
,CL N3311,4297,60.52,50
,CL N3357,3109,33.11,26.46
,CL N4373,3533,34.99,27.52
,CL N4936,3576,54.2,42.44
,CL I4296,4104,45.92,36.24
,CL I4329,4761,53.95,43
,CL N5898,2378,30.76,25
,CL 14797,2568,39.44,50.52
,CL N6769,4008,50.81,59.13
,CL N6861,2644,42.85,53.68
,CL N6876,3887,46.99,56.49
,CL N7014,4786,81.65,93.82
,CL N7049,2120,32.51,46.32
,CLN7144,1764,34.84,49.53
,CL N7196,2708,45.7,60.04
,CL N7213,1727,31.04,46.41
,CL N80,5725,94.62,110.87
,CL N 128,4177,48.98,67.59
,CL N194,4828,86.7,105.22
,CL N383,4768,81.28,95.58
,CL N547,5010,110.16,128.47
,CL N741,5274,74.47,91.8
,CL N 1600,4817,68.23,79.47
,CL N2832,6276,97.72,86.4
,CL N3158,7258,97.72,84.22
,CL N5044,3068,52.23,37.1
,CL N5077,2964,53.95,38.22
,CL N7242,5534,98.62,109.81
,CL N7385,7158,100.92,117.1
,CL A1213,8939,196.78,179.64
,CL 3C66,6056,109.65,120.2
,CL 3C465,8451,166.72,181.52
,CL N6166,8931,145.88,136.98
,CL A569,5819,95.94,92.66
,CL A634,7988,139.32,132.72
,CL A 1257,10442,225.94,209.27
,CL A 1314,10192,154.17,139.76
,CL A1318,5750,105.2,92.54
,CL A2162,9447,130.61,120.54
,CL A2197,9495,129.42,120.75
,CL0131 - 36,8794,128.23,145.26
,CL1400 - 33,4557,60.53,50.62
